timestamp,src,src_port,dst,dst_port,length,packet_type,hex_head,ascii_head,payload_hex_head,payload_ascii_head
2026-05-06 05:36:06.002667,169.254.220.129,63448,169.254.255.255,50002,56,0x29,ffffffffffff1c1dd3d8984e080045000054e4b40000ff110000a9fedc81a9fefffff7d8c352004030d05173707431576d4a4f4c2972656b6f7264626f780000,...........N..E..T...................R.@0.Qspt1WmJOL)rekordbox..,5173707431576d4a4f4c2972656b6f7264626f7800000000000000000000000101110038110000c000100000800035d0001000000009ff01,Qspt1WmJOL)rekordbox...............8..........5.........
2026-05-06 05:36:06.037625,169.254.7.230,39150,169.254.220.129,50002,292,0x0a,1c1dd3d8984e2497ed2d5f7d080045000140bdb7400040114391a9fe07e6a9fedc8198eec352012cff795173707431576d4a4f4c0a43444a2d33303030000000,".....N$..-_}..E..@..@.@.C............R.,.yQspt1WmJOL.CDJ-3000...",5173707431576d4a4f4c0a43444a2d33303030000000000000000000000000010502010002000000020301000000003500000001000000030000003300000000,Qspt1WmJOL.CDJ-3000............................5...........3....
2026-05-06 05:36:06.086479,169.254.7.230,50374,169.254.220.129,50002,292,0x0a,1c1dd3d8984e2497ed2d5f7d080045000140bdbf400040114389a9fe07e6a9fedc81c4c6c352012cd5a15173707431576d4a4f4c0a43444a2d33303030000000,".....N$..-_}..E..@..@.@.C............R.,..Qspt1WmJOL.CDJ-3000...",5173707431576d4a4f4c0a43444a2d33303030000000000000000000000000010502010002000000020301000000003500000001000000030000003300000000,Qspt1WmJOL.CDJ-3000............................5...........3....
2026-05-06 05:36:06.107473,169.254.220.129,51090,169.254.255.255,50002,56,0x29,ffffffffffff1c1dd3d8984e080045000054d7e10000ff110000a9fedc81a9feffffc792c352004030d05173707431576d4a4f4c2972656b6f7264626f780000,...........N..E..T...................R.@0.Qspt1WmJOL)rekordbox..,5173707431576d4a4f4c2972656b6f7264626f7800000000000000000000000101110038110000c000100000800035d0001000000009ff01,Qspt1WmJOL)rekordbox...............8..........5.........
2026-05-06 05:36:06.211265,169.254.220.129,63025,169.254.255.255,50002,56,0x29,ffffffffffff1c1dd3d8984e08004500005442d50000ff110000a9fedc81a9fefffff631c352004030d05173707431576d4a4f4c2972656b6f7264626f780000,...........N..E..TB................1.R.@0.Qspt1WmJOL)rekordbox..,5173707431576d4a4f4c2972656b6f7264626f7800000000000000000000000101110038110000c000100000800035d0001000000009ff01,Qspt1WmJOL)rekordbox...............8..........5.........
2026-05-06 05:36:06.286675,169.254.7.230,60265,169.254.220.129,50002,292,0x0a,1c1dd3d8984e2497ed2d5f7d080045000140be794000401142cfa9fe07e6a9fedc81eb69c352012caefe5173707431576d4a4f4c0a43444a2d33303030000000,".....N$..-_}..E..@.y@.@.B..........i.R.,..Qspt1WmJOL.CDJ-3000...",5173707431576d4a4f4c0a43444a2d33303030000000000000000000000000010502010002000000020301000000003500000001000000030000003300000000,Qspt1WmJOL.CDJ-3000............................5...........3....
2026-05-06 05:36:06.316535,169.254.220.129,55714,169.254.255.255,50002,56,0x29,ffffffffffff1c1dd3d8984e080045000054f45f0000ff110000a9fedc81a9feffffd9a2c352004030d05173707431576d4a4f4c2972656b6f7264626f780000,...........N..E..T._.................R.@0.Qspt1WmJOL)rekordbox..,5173707431576d4a4f4c2972656b6f7264626f7800000000000000000000000101110038110000c000100000800035d0001000000009ff01,Qspt1WmJOL)rekordbox...............8..........5.........
2026-05-06 05:36:06.356289,169.254.7.230,49267,169.254.255.255,50002,38,0x40,ffffffffffff2497ed2d5f7d0800450000429a0f4000401144b9a9fe07e6a9feffffc073c352002e510e5173707431576d4a4f4c404e58532d47570000000000,......$..-_}..E..B..@.@.D..........s.R..Q.Qspt1WmJOL@NXS-GW.....,5173707431576d4a4f4c404e58532d4757000000000000000000000000000001011900020100,Qspt1WmJOL@NXS-GW.....................
2026-05-06 05:36:06.420239,169.254.220.129,51910,169.254.255.255,50002,56,0x29,ffffffffffff1c1dd3d8984e080045000054e2580000ff110000a9fedc81a9feffffcac6c352004030d05173707431576d4a4f4c2972656b6f7264626f780000,...........N..E..T.X.................R.@0.Qspt1WmJOL)rekordbox..,5173707431576d4a4f4c2972656b6f7264626f7800000000000000000000000101110038110000c000100000800035d0001000000009ff01,Qspt1WmJOL)rekordbox...............8..........5.........
2026-05-06 05:36:06.486809,169.254.7.230,57155,169.254.220.129,50002,292,0x0a,1c1dd3d8984e2497ed2d5f7d080045000140befb40004011424da9fe07e6a9fedc81df43c352012cbb245173707431576d4a4f4c0a43444a2d33303030000000,".....N$..-_}..E..@..@.@.BM.........C.R.,.$Qspt1WmJOL.CDJ-3000...",5173707431576d4a4f4c0a43444a2d33303030000000000000000000000000010502010002000000020301000000003500000001000000030000003300000000,Qspt1WmJOL.CDJ-3000............................5...........3....
